Model,R2 (Train),R2 (Test),MAE (Train),MAE (Test),RMSE (Train),RMSE (Test)
Random Forest,0.7467836461994534,-0.27233521388337256,7.165656169358044,19.88265684361286,9.891807408460217,29.86776941304066
Gradient Boosting,0.7903085288073723,-0.283608252533877,6.527975622639893,20.052525512111995,9.001609318556302,29.999793583875668
XGBoost,0.7655858397483826,-0.5009092092514038,6.992214679718018,21.85091781616211,9.517473313795453,32.439880166167576
